C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_29_945.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_29_945.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_29_945.jpg,-0.7,1,0,14.00957
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_019.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_019.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_019.jpg,0,1,0,14.74777
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_090.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_090.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_090.jpg,0,1,0,15.5135
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_178.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_178.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_178.jpg,0,1,0,16.37498
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_271.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_271.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_271.jpg,0,1,0,17.52145
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_361.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_361.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_361.jpg,-0.1,1,0,18.32396
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_428.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_428.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_428.jpg,-0.3,1,0,19.09884
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_524.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_524.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_524.jpg,0,1,0,19.86543
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_611.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_611.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_611.jpg,-0.25,1,0,20.85491
C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\center_2019_01_06_23_44_30_696.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\left_2019_01_06_23_44_30_696.jpg,C:\Users\shi_y\Documents\GitHub\Udacity\CarND-Behavioral-Cloning-P3\training_data\IMG\right_2019_01_06_23_44_30_696.jpg,-0.45,1,0,21.58637
